Codigo;Descripci�n;"Cod SubRubro";SubRubro;"Cod Rubro";Rubro;"Cod Marca";Marca;"Cod Provedor";Proveedor;Temporada;"Fecha Alta";"Fecha Modificado";"Precio Costo";"Precio Venta";"Utilidad 1";"Utilidad 2";Cantidad;"Stock Min";Vencimiento;Reponer;imagenes
"Cod: 8065";" BROCHE X 10 UNICORNIO ARCO IRIS C/HILO 20885";61;LIBRERIA;9;LIBRERIA;1;"Sin Especificar";0;;0;29-03-2022;16-12-2024;7848;13,499.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_1569.jpg
"Cod: 6219";" CUATRICICLO X2 GRAFITTI 3755Z";7;"JUGUETERIA ECON";4;JUGUETERIA;1;"Sin Especificar";;;0;10-06-2019;22-07-2021;812;1,640.00;102;102;0;;;;https://factupyme.com.ar/inventario/img/productos/3/1560283799_Screenshot_120.jpg
"Cod: 37466";" DISPENSER P/JABON CUAD.16X11C C/BAMBOO 243053 43153";10;REGALERIA;5;BAZAR;1;"Sin Especificar";9;"Torre &  Liva IMPORTADO";0;06-12-2025;06-12-2025;7911;13,500.00;70;30;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Gemini_Generated_Image_sf8y8wsf8y8wsf8y.png
"Cod: 38698";" FAROL VID.9C PINTADA VERDE FLORES LUCES LED GLANZ 98356";97;"ART. DE LIMPIEZA";11;HOGAR/JARDIN;1;"Sin Especificar";9;"Torre &  Liva IMPORTADO";0;04-04-2026;04-04-2026;10005;16,500.00;65;30;3;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/98356-510x510.jpg
"Cod: 23128";" mandala emociones para colorear 2335";61;LIBRERIA;9;LIBRERIA;1;"Sin Especificar";0;;2;21-04-2023;16-12-2024;8438;16,876.00;100;100;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_1951.jpg
"Cod: 23089";" MASAJEADOR 15A20";37;X-ELECTRONICA;8;ELECTRONICA;1;"Sin Especificar";4;"Fabian Gil";0;17-04-2023;09-04-2026;3840;6,600.00;72;72;0;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_1168.jpg
"Cod: 5755";" SET GUANTE + MEDIAS BHSD0072 -";139;MEDIAS;10;TEXTIL;1;"Sin Especificar";;;0;06-06-2018;19-07-2021;1392;2,533.00;82;82;0;;;;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 37822";" SHAKER STANLEY ACTIVATE. 591-";10;REGALERIA;5;BAZAR;1;"Sin Especificar";140;"NEXO Import";0;30-01-2026;07-02-2026;14960;59,840.00;300;75;50;0;0000-00-00;;https://factupyme.com.ar/inventario/img/productos/3/Screenshot_644.jpg
"Cod: 612";".AROS HOJAS LH-29-007-26";26;AROS-LH;7;ACCESORIOS;1;"Sin Especificar";0;;0;02-09-2011;16-12-2024;84;186.00;121;121;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
"Cod: 1625";".PA�UELO 1 X 1 MTS VISCOSA FLORES C/ BORLAS 25427";36;PASHMINA-LH;7;ACCESORIOS;1;"Sin Especificar";0;;0;20-05-2013;16-12-2024;382;626.00;64;64;0;10;0000-00-00;10;https://factupyme.com.ar/inventario/https://factupyme.com.ar/inventario/img/productos/product.png
