Prioridad;Nombre;Dirección;Tipo;Instagram;WhatsApp;Estado;Fecha 1er contacto;Fecha seguimiento;Notas
A;ZA Fitness (SportClub);Trenel 1655;Gimnasio;;;Sin contactar;;;
A;La Caleta (SportClub);Pasteur 10;Gimnasio;;;Sin contactar;;;
A;Gimnasio Domo;Av. Circunvalación Santiago Marzo (N) 1479 · también Spinetto 1326;Gimnasio (varias sedes);;;Sin contactar;;;
A;Acqua Fitness;Av. Santiago Marzo (S) 1149;Gimnasio;;;Sin contactar;;;
A;MABY Gym;Santa Fe 200;Gimnasio;;;Sin contactar;;;
A;Buena Vibra Gym;Emilio Mitre 65;Gimnasio;;;Sin contactar;;;
A;Gym Genesis;Cnel. Gil 385;Gimnasio;;;Sin contactar;;;
A;Gimnasio La Roseta;Av. Agustín Spinetto 333;Gimnasio;;;Sin contactar;;;
A;Olimpo Gimnasio;Leguizamón 741;Gimnasio;;;Sin contactar;;;
A;Funcional GIM;Lisandro de la Torre 96;Funcional;;;Sin contactar;;;
A;Gir Gimnasio;Urquiza 74;Gimnasio;;;Sin contactar;;;
A;Mario Drago Gym;González 34;Gimnasio;;;Sin contactar;;;
A;Atlas Gym;Bartolomé Mitre 222;Gimnasio;;;Sin contactar;;;
A;Gimnasio AFJA;Av. Dr. Palacios 1611;Gimnasio;;;Sin contactar;;;
A;PS Training Center;Villegas 219;Centro de entrenamiento;;;Sin contactar;;;
A;Modo Fit;Rivadavia 268;Gimnasio;;;Sin contactar;;;
A;Gimnasio Casa Fuerte;Hilario Lagos 706;Gimnasio;;;Sin contactar;;;
A;Gimnasio Nivel Uno;Juan Schmidt 1348;Gimnasio;;;Sin contactar;;;
A;Diagoras Sport;Chaco 1115;Gimnasio;;;Sin contactar;;;
A;WolfFit;Av. Agustín Spinetto 1971;Gimnasio;;;Sin contactar;;;
A;Jaguar CF;O'Higgins 175;Funcional / CrossFit;;;Sin contactar;;;
A;Lagertha Gym & Fitness;Civit 656;Gimnasio;;;Sin contactar;;;
A;Exclusive Fitness;Av. Uruguay 442;Gimnasio;;;Sin contactar;;;
A;Pantheon Gym;Poblador Desconocido 455;Gimnasio;;;Sin contactar;;;
A;Gimnasio Clásico;Juan B. Justo 337;Gimnasio;;;Sin contactar;;;
A;Evolution Gym & Fitness;Unanue 36;Gimnasio;;;Sin contactar;;;
A;Carancho CF;Av. Dr. Palacios 1560;Funcional / CrossFit;;;Sin contactar;;;
A;Centro Dinámico GIM;Av. Perón 4367;Gimnasio;;;Sin contactar;;;
A;Ragnarok Cross Funcional;Av. Santiago Marzo (S) 475;Funcional / CrossFit;;;Sin contactar;;;
A;Saeta CrossFit;Crio. Valerga y Rodríguez;CrossFit;;;Sin contactar;;;
A;Gimnasio CEGA;Delfín Gallo 1637;Gimnasio;;;Sin contactar;;;
A;Nordic Gym;Civit 263;Gimnasio;;;Sin contactar;;;
A;Taurus CF;Av. Santiago Marzo 1049;Funcional / CrossFit;;;Sin contactar;;;
A;FullBox Gym;Av. Santiago Marzo (S) 1482;Gimnasio / Box;;;Sin contactar;;;
A;Gym Carla;Maestros Pampeanos 100;Gimnasio;;;Sin contactar;;;
A;Dynamic Gym;Ameghino;Gimnasio;;;Sin contactar;;;
A;Gimnasio Winckelman;Hilario Lagos 255;Gimnasio;;;Sin contactar;;;
A;Gym & Swim;Avellaneda 266;Gimnasio;;;Sin contactar;;;
A;Santa Rosa Fitness Gym;México 828;Gimnasio;;;Sin contactar;;;
A;Gimnasio Alto Impacto;Corona Martínez 1057;Gimnasio;;;Sin contactar;;;
A;Zona Activa;Av. Santiago Marzo (S) 18;Centro fitness;;;Sin contactar;;;
A;Stay Strong;Formosa 1012;Gimnasio;;;Sin contactar;;;
A;Gimnasio Movimiento 1;Estrada 651;Gimnasio;;;Sin contactar;;;
A;La Meca Gym;Av. Santiago Marzo (S) 1245;Gimnasio;;;Sin contactar;;;
A;Gimnasio Fénix Fitness;Av. San Martín 44;Gimnasio;;;Sin contactar;;;
A;Gimnasio Yamamoto;Av. Uruguay 440;Gimnasio / Artes marciales;;;Sin contactar;;;
A;Estación Salud;Escalante 222;Centro de salud y entrenamiento;;;Sin contactar;;;
A;Gimnasio Rocío Suhurt;Salvador Pérez 345;Gimnasio;;;Sin contactar;;;
B;Balance Studio Pilates;Márquez 1293;Pilates;;;Sin contactar;;;
B;Centro de Pilates Salud & Formación;Hilario Lagos 695;Pilates;;;Sin contactar;;;
B;Lotus Pilates;P. Harris 307;Pilates;;;Sin contactar;;;
B;AB Fitness & Dance;Av. Pedro Luro 823;Fitness y danza;;;Sin contactar;;;
B;Fusionarte Dance & Fitness;9 de Julio 72;Fitness y danza;;;Sin contactar;;;
B;Mente Deportiva;Av. San Martín 167;Centro deportivo;;;Sin contactar;;;
